canonical_term,priority_tier,core_or_fringe OR any other category suggestion?
went,Tier 3 - Reference expansion,core
were,Tier 3 - Reference expansion,core
when,Tier 3 - Reference expansion,core
where,Tier 3 - Reference expansion,core
where's,Tier 3 - Reference expansion,core
with,Tier 3 - Reference expansion,core
you'll,Tier 3 - Reference expansion,core
you're,Tier 3 - Reference expansion,core
yours,Tier 3 - Reference expansion,core
about,Tier 3 - Reference expansion,fringe/personalizable
again,Tier 3 - Reference expansion,fringe/personalizable
being,Tier 3 - Reference expansion,fringe/personalizable
cup,Tier 3 - Reference expansion,fringe/personalizable
everything,Tier 3 - Reference expansion,fringe/personalizable
finger,Tier 3 - Reference expansion,fringe/personalizable
inside,Tier 3 - Reference expansion,fringe/personalizable
kind,Tier 3 - Reference expansion,fringe/personalizable
paint,Tier 3 - Reference expansion,fringe/personalizable
room,Tier 3 - Reference expansion,fringe/personalizable
something,Tier 3 - Reference expansion,fringe/personalizable
thing,Tier 3 - Reference expansion,fringe/personalizable
things,Tier 3 - Reference expansion,fringe/personalizable
ball,Tier 3 - Reference expansion,fringe/personalizable
box,Tier 3 - Reference expansion,fringe/personalizable
chair,Tier 3 - Reference expansion,fringe/personalizable
duck,Tier 3 - Reference expansion,fringe/personalizable
horse,Tier 3 - Reference expansion,fringe/personalizable
toys,Tier 3 - Reference expansion,fringe/personalizable
turtles,Tier 3 - Reference expansion,fringe/personalizable
how,Tier 3 - Reference expansion,core
who,Tier 3 - Reference expansion,core
why,Tier 3 - Reference expansion,core
bye,Tier 3 - Reference expansion,core
high,Tier 3 - Reference expansion,core
hill,Tier 3 - Reference expansion,core
him,Tier 3 - Reference expansion,core
his,Tier 3 - Reference expansion,core
please,Tier 3 - Reference expansion,core
this,Tier 3 - Reference expansion,core
which,Tier 3 - Reference expansion,core
while,Tier 3 - Reference expansion,core
after,Tier 3 - Reference expansion,fringe/personalizable
all,Tier 3 - Reference expansion,fringe/personalizable
almost,Tier 3 - Reference expansion,fringe/personalizable
also,Tier 3 - Reference expansion,fringe/personalizable
ant,Tier 3 - Reference expansion,fringe/personalizable
any,Tier 3 - Reference expansion,fringe/personalizable
around,Tier 3 - Reference expansion,fringe/personalizable
away,Tier 3 - Reference expansion,fringe/personalizable
baby,Tier 3 - Reference expansion,fringe/personalizable
back,Tier 3 - Reference expansion,fringe/personalizable
before,Tier 3 - Reference expansion,fringe/personalizable
bet,Tier 3 - Reference expansion,fringe/personalizable
better,Tier 3 - Reference expansion,fringe/personalizable
both,Tier 3 - Reference expansion,fringe/personalizable
bugs,Tier 3 - Reference expansion,fringe/personalizable
