canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
bite,bite,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
boy,boy,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
came,came,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
did,did,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
didn't,didn't,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
everybody,everybody,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
fire,fire,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
first,first,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
five,five,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
fixed,fixed,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
girl,girl,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
girls,girls,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
guys,guys,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hair,hair,word,Body Parts,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
he,he,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
he's,he's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
head,head,word,Body Parts,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hear,hear,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
her,her,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
here,here,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
here's,here's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
i'll,I'll,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
i'm,I'm,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
if,if,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
is,is,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
isn't,isn't,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
it,it,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
it's,it's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
just,just,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
lift,lift,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
mean,mean,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,descriptor/adjective,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
messy,messy,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
middle,middle,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
mommy,mommy,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
must,must,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
myself,myself,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
name,Name,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
named,named,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
our,our,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ours,ours,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
people,people,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
pick,pick,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
piece,piece,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
remember,remember,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
said,said,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
she,she,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
she's,she's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
side,side,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
some,some,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
somebody,somebody,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
someone,someone,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
sometimes,sometimes,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
still,still,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
then,then,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
there,there,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
there's,there's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
these,these,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
they,they,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
they'll,they'll,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
they're,they're,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
time,time,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
us,us,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
we,we,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
we'll,we'll,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
we're,we're,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
well,well,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
went,went,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
were,were,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
when,when,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
where,where,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
where's,where's,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
with,with,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
you'll,you'll,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
you're,you're,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
yours,yours,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
about,about,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
again,again,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
being,being,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
cup,cup,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
everything,everything,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
finger,finger,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
inside,inside,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
kind,kind,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
paint,paint,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
room,room,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
something,something,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
thing,thing,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
things,things,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ball,ball,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
box,box,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
chair,chair,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
duck,duck,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
horse,horse,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
toys,toys,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
turtles,turtles,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
how,how,word,Question Words,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,question word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
who,who,word,Question Words,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,question word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
why,why,word,Question Words,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,question word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bye,bye,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
high,high,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hill,hill,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
him,him,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
his,his,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
please,please,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
this,this,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
which,which,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
while,while,word,Social,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,social,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
after,after,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
all,all,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
almost,almost,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
also,also,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ant,ant,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
any,any,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
around,around,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
away,away,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
baby,baby,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
back,back,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
before,before,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bet,bet,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
better,better,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
both,both,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bugs,bugs,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
can,can,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
