canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
bathroom,Bathroom,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,fringe/personalizable,noun,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
i need the bathroom,I need the bathroom,phrase,Places,Validation scenarios,Bathroom,Tier 1 - Phase I MVP,fringe/personalizable,location/preposition,regulation/body need,Bathroom,Yes,Yes,No,,,"High priority, fast phrase"
mine,Mine,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,fringe/personalizable,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
space,Space,word,Regulation/Safety,Faison SLP collected words,Actions,Tier 1 - Phase I MVP,core,word,regulation/body need,,Yes,Yes,No,,,Typical 1 word expressions from Faison
too loud,Too loud,phrase,Regulation/Safety,Validation scenarios,Overstimulated,Tier 1 - Phase I MVP,core,phrase,regulation/body need,Overstimulated,Yes,Yes,No,Too loud / I need a break,,Sensory regulation
bad,Bad,word,Social,Faison SLP collected words; Marvin 330 preschool words,Greetings/Interjections; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,descriptor/adjective,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
hello,Hello,word,Social,Validation scenarios; Faison SLP collected words; Marvin 330 preschool words,Greeting; Greetings/Interjections; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,word,social,Greeting,Yes,Yes,No,Hi / Hello,My turn; I like this; Hi / Hello,Social initiation; Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
hi,Hi,word,Social,Validation scenarios; Marvin 330 preschool words,Greeting; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,word,social,Greeting,Yes,Yes,No,Hi / Hello,My turn; I like this; Hi / Hello,Social initiation; Reference expansion from Marvin et al. 330 preschool words
ok,OK,word,Social,Faison SLP collected words; Marvin 330 preschool words,Greetings/Interjections; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,word,social,,Yes,Yes,No,OK/Fine,,Variant from slash-delimited Faison row; Reference expansion from Marvin et al. 330 preschool words
need,need,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,fringe/personalizable,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
"could be specific to use quiet space, alone space","Could be specific to use “quiet space,” “alone space”",phrase,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,regulation/body need,,Yes,Yes,No,,,Typical 1 word expressions from Faison
do,Do,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
dog,Dog,word,Preferred Items,Faison SLP collected words; Marvin 330 preschool words,Items; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
doll,Doll,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
down,Down,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
help me / i'm frustrated,Help me / I’m frustrated,phrase,Actions,Validation scenarios,Frustration,Tier 2 - Faison expansion,core,verb/action,"help-seeking, regulation/body need",Frustration,Yes,Yes,No,,,Emotional expression
hug,Hug,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
i don't want that,I don’t want that,phrase,Actions,Validation scenarios,Rejecting,Tier 2 - Faison expansion,core,verb/action,"request, refusal/protest",Rejecting,Yes,Yes,No,No / I don’t want that,,Clear refusal
i like this,I like this,phrase,Actions,Validation scenarios,Happy,Tier 2 - Faison expansion,core,verb/action,social,Happy,Yes,Yes,No,,,Positive emotion
i need help,I need help,phrase,Actions,Validation scenarios,Emotional escalation,Tier 2 - Faison expansion,core,verb/action,help-seeking,Emotional escalation,Yes,Yes,No,I need help / stop,,Safety + regulation
i need help / stop,I need help / stop,phrase,Actions,Validation scenarios,Emotional escalation,Tier 2 - Faison expansion,core,verb/action,"refusal/protest, help-seeking",Emotional escalation,Yes,Yes,No,,,Safety + regulation
i want a jacket,I want a jacket,phrase,Actions,Validation scenarios,Request item,Tier 2 - Faison expansion,core,verb/action,request,Request item,Yes,Yes,No,,,Basic request
i want apple,I want apple,phrase,Actions,Validation scenarios,Choice selection,Tier 2 - Faison expansion,core,verb/action,request,Choice selection,Yes,Yes,No,,,Decision making
i want food,I want food,phrase,Actions,Validation scenarios,Snack request,Tier 2 - Faison expansion,core,verb/action,request,Snack request,Yes,Yes,No,,,Simple AAC (≤100 words)
jump,Jump,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
like,Like,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
look at me,Look at me,phrase,Actions,Validation scenarios,Attention seeking,Tier 2 - Faison expansion,core,verb/action,social,Attention seeking,Yes,Yes,No,,,Social bid
make,Make,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
my turn,My turn,phrase,Actions,Validation scenarios,Turn taking,Tier 2 - Faison expansion,core,verb/action,social,Turn taking,Yes,Yes,No,,My turn; I like this; Hi / Hello,Social interaction
